                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    116,                0.49496,                0.51305,                0.89168,                0.83233,                0.83771,                0.86232,                0.71959,                0.55475,                0.76273,                0.90752,             0.00088714,             0.00088714,             0.00088714
                    117,                 0.4903,                0.51511,                0.90297,                0.75765,                0.89202,                0.88257,                0.72731,                0.55102,                 0.7954,                 0.9116,             0.00088615,             0.00088615,             0.00088615
                    118,                0.49981,                0.51104,                 0.9098,                0.78276,                0.87006,                0.88462,                0.72166,                0.55889,                0.89171,                0.91801,             0.00088516,             0.00088516,             0.00088516
                    119,                 0.4828,                 0.4807,                0.89006,                0.76076,                 0.8739,                0.87907,                0.70575,                  0.602,                 1.0558,                  0.934,             0.00088417,             0.00088417,             0.00088417
                    120,                 0.4858,                0.50601,                0.89863,                0.79927,                0.88724,                0.87738,                0.70634,                0.59533,                0.90729,                0.93041,             0.00088318,             0.00088318,             0.00088318
                    121,                0.48819,                0.49696,                0.88467,                0.83146,                0.90678,                0.87771,                0.70742,                0.58248,                0.82079,                0.92024,             0.00088219,             0.00088219,             0.00088219
                    122,                 0.4994,                0.47677,                0.90041,                0.85801,                0.88975,                0.87678,                0.71939,                0.57901,                0.75461,                0.91251,              0.0008812,              0.0008812,              0.0008812
                    123,                0.45927,                0.46588,                0.89552,                0.87624,                0.88649,                0.87948,                 0.7155,                0.58608,                0.73832,                0.92255,             0.00088021,             0.00088021,             0.00088021
                    124,                0.47941,                0.47446,                0.88778,                0.88498,                0.86265,                0.87212,                0.68661,                0.63513,                0.76361,                0.95689,             0.00087922,             0.00087922,             0.00087922
                    125,                0.47488,                0.47851,                0.88306,                0.86839,                0.84393,                0.87564,                0.68846,                0.63452,                0.81088,                0.96209,             0.00087823,             0.00087823,             0.00087823
                    126,                0.47344,                0.48402,                0.89416,                0.83491,                0.81631,                0.86017,                0.66798,                0.67259,                 1.1078,                0.99255,             0.00087724,             0.00087724,             0.00087724
                    127,                0.46364,                0.47462,                0.88736,                0.79483,                0.82481,                0.84102,                0.63546,                0.71208,                 1.3172,                 1.0225,             0.00087625,             0.00087625,             0.00087625
                    128,                0.46977,                0.47622,                0.89521,                0.79714,                0.81308,                0.84631,                0.66104,                0.64257,                 1.0922,                0.97457,             0.00087526,             0.00087526,             0.00087526
                    129,                0.46133,                0.47363,                0.89393,                0.78608,                0.90707,                0.87888,                0.70301,                0.57851,                0.81227,                0.93359,             0.00087427,             0.00087427,             0.00087427
                    130,                0.44367,                0.44431,                0.88582,                0.84828,                0.85254,                0.87796,                0.70413,                0.56173,                0.70743,                0.92517,             0.00087328,             0.00087328,             0.00087328
                    131,                0.46433,                0.45849,                0.88702,                 0.8761,                0.86395,                0.88292,                0.71315,                0.56938,                0.69394,                0.92549,             0.00087229,             0.00087229,             0.00087229
                    132,                0.45606,                0.45005,                0.90515,                0.85377,                0.87284,                0.88008,                0.71964,                0.57376,                0.72157,                0.94031,              0.0008713,              0.0008713,              0.0008713
                    133,                0.43973,                0.44298,                0.88827,                0.86324,                0.87773,                0.87554,                0.71257,                0.58195,                0.72777,                0.94075,             0.00087031,             0.00087031,             0.00087031
                    134,                0.47468,                0.47902,                0.88688,                0.86115,                0.85861,                0.86997,                0.70494,                0.58518,                0.75192,                0.93783,             0.00086932,             0.00086932,             0.00086932
                    135,                  0.475,                 0.4918,                0.89768,                0.87799,                0.86263,                0.87335,                0.70813,                0.59018,                0.76124,                0.94073,             0.00086833,             0.00086833,             0.00086833
                    136,                0.47443,                0.46483,                0.90252,                0.82452,                0.85946,                0.86939,                0.70219,                0.58341,                0.77008,                0.93308,             0.00086734,             0.00086734,             0.00086734
                    137,                0.45321,                0.44363,                0.89393,                0.81508,                 0.8636,                0.86522,                0.68559,                0.59911,                0.77559,                0.93058,             0.00086635,             0.00086635,             0.00086635
                    138,                0.44113,                0.44054,                0.89371,                0.82566,                0.85956,                 0.8796,                0.69324,                0.59862,                0.77017,                 0.9273,             0.00086536,             0.00086536,             0.00086536
                    139,                0.48003,                0.48678,                0.93856,                0.81221,                0.88774,                0.88188,                0.70768,                0.60267,                0.76566,                0.93301,             0.00086437,             0.00086437,             0.00086437
